seed,dataset,mode,objective,base_auc,ext_auc,comb_no_auc,comb_ext_auc,n_no,n_ext
43,ClientRecordV2,no_pruning,0.001319,0.872,0.9438,0.8715,0.948,861,548
43,ClientRecordV2,fixed_50,0.001738,0.872,0.9427,0.8715,0.948,861,548
43,WeatherAUS,optuna,0.001304,0.8809,0.8982,0.8809,0.9002,8815,19624
43,WeatherAUS,no_pruning,0.001345,0.8809,0.8982,0.8809,0.9002,8815,19624
43,WeatherAUS,fixed_50,0.003395,0.8809,0.8952,0.8809,0.9002,8815,19624
43,WIDS,optuna,-0.001364,0.8993,0.8721,0.8965,0.8728,10668,7675
43,WIDS,no_pruning,-0.001364,0.8993,0.8721,0.8965,0.8728,10668,7675
43,WIDS,fixed_50,-0.000259,0.8993,0.8694,0.8965,0.8728,10668,7675
43,FlightDelay,optuna,0.000687,0.7182,0.6972,0.7154,0.6981,1000,19000
43,FlightDelay,no_pruning,0.000852,0.7182,0.697,0.7154,0.6981,1000,19000
43,FlightDelay,fixed_50,0.005128,0.7182,0.6925,0.7154,0.6981,1000,19000
44,BankLoanSta,optuna,-0.001878,0.6753,0.7602,0.6654,0.7719,12515,7485
44,BankLoanSta,no_pruning,0.005476,0.6753,0.7406,0.6654,0.7719,12515,7485
44,BankLoanSta,fixed_50,0.004469,0.6753,0.7433,0.6654,0.7719,12515,7485
44,Weather,optuna,0.000352,0.8439,0.8583,0.8436,0.8597,3114,1886
44,Weather,no_pruning,0.00039,0.8439,0.8582,0.8436,0.8597,3114,1886
44,Weather,fixed_50,0.001337,0.8439,0.8557,0.8436,0.8597,3114,1886
44,DiabetesRecord,optuna,0.001754,0.6743,0.6714,0.6753,0.6737,8389,11965
44,DiabetesRecord,no_pruning,0.001721,0.6743,0.6714,0.6753,0.6737,8389,11965
44,DiabetesRecord,fixed_50,0.001627,0.6743,0.6716,0.6753,0.6737,8389,11965
44,CreditRisk,optuna,-0.000553,0.7483,0.7521,0.7476,0.7523,14334,1666
44,CreditRisk,no_pruning,-0.000686,0.7483,0.7534,0.7476,0.7523,14334,1666
44,CreditRisk,fixed_50,-0.000625,0.7483,0.7528,0.7476,0.7523,14334,1666
44,HRAnalytics,optuna,0.003483,0.749,0.7689,0.7611,0.7685,1188,2644
44,HRAnalytics,no_pruning,0.001841,0.749,0.7713,0.7611,0.7685,1188,2644
44,HRAnalytics,fixed_50,0.001934,0.749,0.7711,0.7611,0.7685,1188,2644
44,ClientRecordV2,optuna,0.000541,0.8418,0.9645,0.8411,0.967,861,548
44,ClientRecordV2,no_pruning,0.001093,0.8418,0.9631,0.8411,0.967,861,548
44,ClientRecordV2,fixed_50,0.000669,0.8418,0.9642,0.8411,0.967,861,548
44,WeatherAUS,optuna,0.000914,0.8842,0.898,0.8843,0.8992,8815,19624
44,WeatherAUS,no_pruning,0.001113,0.8842,0.8977,0.8843,0.8992,8815,19624
44,WeatherAUS,fixed_50,0.003463,0.8842,0.8943,0.8843,0.8992,8815,19624
44,WIDS,optuna,-0.000165,0.8808,0.8708,0.8789,0.8732,10668,7675
44,WIDS,no_pruning,-0.000852,0.8808,0.8725,0.8789,0.8732,10668,7675
44,WIDS,fixed_50,-0.001146,0.8808,0.8732,0.8789,0.8732,10668,7675
44,FlightDelay,optuna,-0.000394,0.6537,0.6952,0.6505,0.6949,1000,19000
44,FlightDelay,no_pruning,-0.000501,0.6537,0.6953,0.6505,0.6949,1000,19000
44,FlightDelay,fixed_50,0.004156,0.6537,0.6904,0.6505,0.6949,1000,19000
45,BankLoanSta,optuna,-0.001383,0.6634,0.7832,0.6611,0.7834,12534,7466
45,BankLoanSta,no_pruning,-0.001351,0.6634,0.7831,0.6611,0.7834,12534,7466
45,BankLoanSta,fixed_50,0.000675,0.6634,0.7777,0.6611,0.7834,12534,7466
45,Weather,optuna,0.001154,0.8202,0.8759,0.8215,0.8769,3114,1886
45,Weather,no_pruning,0.000609,0.8202,0.8773,0.8215,0.8769,3114,1886
45,Weather,fixed_50,0.002229,0.8202,0.873,0.8215,0.8769,3114,1886
45,DiabetesRecord,optuna,0.000376,0.6694,0.6742,0.6715,0.6734,8389,11965
45,DiabetesRecord,no_pruning,0.000453,0.6694,0.6741,0.6715,0.6734,8389,11965
45,DiabetesRecord,fixed_50,0.000588,0.6694,0.6739,0.6715,0.6734,8389,11965
45,CreditRisk,optuna,0.000386,0.7478,0.7606,0.7478,0.7639,14334,1666
45,CreditRisk,no_pruning,0.000388,0.7478,0.7605,0.7478,0.7639,14334,1666
45,CreditRisk,fixed_50,0.000439,0.7478,0.7601,0.7478,0.7639,14334,1666
45,HRAnalytics,optuna,0.005622,0.718,0.7865,0.7257,0.7912,1188,2644
45,HRAnalytics,no_pruning,0.005477,0.718,0.7867,0.7257,0.7912,1188,2644
45,HRAnalytics,fixed_50,0.006547,0.718,0.7851,0.7257,0.7912,1188,2644
45,ClientRecordV2,optuna,0.001741,0.846,0.9299,0.8419,0.9408,861,548
45,ClientRecordV2,no_pruning,0.005637,0.846,0.9199,0.8419,0.9408,861,548
45,ClientRecordV2,fixed_50,0.003068,0.846,0.9265,0.8419,0.9408,861,548
45,WeatherAUS,optuna,0.000513,0.8867,0.9024,0.8867,0.9032,8815,19624
45,WeatherAUS,no_pruning,0.000193,0.8867,0.9029,0.8867,0.9032,8815,19624
45,WeatherAUS,fixed_50,0.001183,0.8867,0.9015,0.8867,0.9032,8815,19624
45,WIDS,optuna,0.000739,0.8881,0.8705,0.8878,0.8727,10668,7675
45,WIDS,no_pruning,-2.1e-05,0.8881,0.8723,0.8878,0.8727,10668,7675
45,WIDS,fixed_50,0.001044,0.8881,0.8697,0.8878,0.8727,10668,7675
45,FlightDelay,optuna,0.000162,0.6887,0.6998,0.682,0.7003,1000,19000
45,FlightDelay,no_pruning,-6.4e-05,0.6887,0.7,0.682,0.7003,1000,19000
45,FlightDelay,fixed_50,0.00566,0.6887,0.694,0.682,0.7003,1000,19000
46,BankLoanSta,optuna,-0.018148,0.6841,0.7821,0.6635,0.7681,12525,7475
46,BankLoanSta,no_pruning,-0.007187,0.6841,0.7527,0.6635,0.7681,12525,7475
46,BankLoanSta,fixed_50,-0.010465,0.6841,0.7615,0.6635,0.7681,12525,7475
46,Weather,optuna,-0.001644,0.841,0.8933,0.8389,0.8926,3114,1886
46,Weather,no_pruning,-0.001765,0.841,0.8936,0.8389,0.8926,3114,1886
46,Weather,fixed_50,-0.000844,0.841,0.8912,0.8389,0.8926,3114,1886
46,DiabetesRecord,optuna,0.000109,0.6762,0.6687,0.6754,0.6694,8389,11965
46,DiabetesRecord,no_pruning,0.001698,0.6762,0.666,0.6754,0.6694,8389,11965
46,DiabetesRecord,fixed_50,0.004691,0.6762,0.6609,0.6754,0.6694,8389,11965
46,CreditRisk,optuna,-3.8e-05,0.7477,0.727,0.7483,0.7209,14334,1666
46,CreditRisk,no_pruning,0.000308,0.7477,0.7237,0.7483,0.7209,14334,1666
46,CreditRisk,fixed_50,0.000264,0.7477,0.7241,0.7483,0.7209,14334,1666
46,HRAnalytics,optuna,0.004677,0.7354,0.7986,0.7435,0.8017,1188,2644
46,HRAnalytics,no_pruning,0.005374,0.7354,0.7976,0.7435,0.8017,1188,2644
46,HRAnalytics,fixed_50,0.003717,0.7354,0.8,0.7435,0.8017,1188,2644
46,ClientRecordV2,optuna,-0.003572,0.8436,0.9546,0.8373,0.9554,861,548
46,ClientRecordV2,no_pruning,-0.00379,0.8436,0.9552,0.8373,0.9554,861,548
46,ClientRecordV2,fixed_50,-0.003045,0.8436,0.9533,0.8373,0.9554,861,548
46,WeatherAUS,optuna,0.000656,0.8848,0.9004,0.8856,0.901,8815,19624
46,WeatherAUS,no_pruning,0.001093,0.8848,0.8997,0.8856,0.901,8815,19624
46,WeatherAUS,fixed_50,0.003118,0.8848,0.8968,0.8856,0.901,8815,19624
46,WIDS,optuna,0.000859,0.8913,0.8854,0.8917,0.8868,10668,7675
46,WIDS,no_pruning,0.001304,0.8913,0.8843,0.8917,0.8868,10668,7675
46,WIDS,fixed_50,0.002282,0.8913,0.882,0.8917,0.8868,10668,7675
46,FlightDelay,optuna,-0.000298,0.7313,0.6955,0.725,0.6956,1000,19000
46,FlightDelay,no_pruning,-0.000531,0.7313,0.6958,0.725,0.6956,1000,19000
46,FlightDelay,fixed_50,0.00194,0.7313,0.6932,0.725,0.6956,1000,19000
