dataset,combo_name,ext_features,trials,pruning_mode,objective,label_rate_ext,label_rate_no_ext,label_rate_gap,label_rate_ratio,chi2_label,chi2_label_p,mean_ks,max_ks,mean_cohens_d,pct_features_shifted,total_shift
HRAnalytics,gender ext,gender,30,no_pruning,-0.000855,0.231263,0.308119,0.076856,0.750563,108.3785,2.2204850773242254e-25,0.058769,0.166557,0.090036,66.7,0.135625
HRAnalytics,gender ext,gender,30,fixed_50,0.001127,0.231263,0.308119,0.076856,0.750563,108.3785,2.2204850773242254e-25,0.058769,0.166557,0.090036,66.7,0.135625
MovieAugV2,rating_count+rating_mean ext,"rating_count,rating_mean",10,optuna,0.003951,0.018689,0.019583,0.000894,0.95433,0.8608,0.3535058640493015,0.01978,0.044213,0.022889,0.0,0.020674
MovieAugV2,rating_count+rating_std ext,"rating_count,rating_std",10,optuna,0.000317,0.01878,0.019313,0.000533,0.972419,0.2932,0.5881794387447283,0.016545,0.029856,0.015746,0.0,0.017078
MovieAugV2,rating_count+days_active ext,"rating_count,days_active",10,optuna,0.004928,0.018521,0.020094,0.001572,0.921751,2.7156,0.09936888388494174,0.019871,0.052869,0.017438,12.5,0.021443
MovieAugV2,rating_count+rating_frequency ext,"rating_count,rating_frequency",10,optuna,-0.002898,0.018855,0.019085,0.00023,0.98795,0.0483,0.8260426407818464,0.020466,0.043868,0.037405,0.0,0.020696
MovieAugV2,rating_count+tags ext,"rating_count,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",10,optuna,0.002303,0.024937,0.012408,0.012529,2.009793,236.8572,1.9054634888538379e-53,0.025024,0.042208,0.040922,50.0,0.037554
MovieAugV2,rating_count ext,rating_count,10,optuna,-0.003813,0.018601,0.019224,0.000622,0.967623,0.554,0.4567019921618508,0.015331,0.037922,0.022119,0.0,0.015954
MovieAugV2,rating_mean+rating_std ext,"rating_mean,rating_std",10,optuna,-0.004046,0.018747,0.019408,0.000661,0.965956,0.4608,0.4972642532767546,0.016497,0.032447,0.02536,0.0,0.017158
MovieAugV2,rating_mean+days_active ext,"rating_mean,days_active",10,optuna,0.001982,0.01862,0.019787,0.001166,0.94105,1.4853,0.22295199320825482,0.016222,0.028031,0.014927,0.0,0.017389
MovieAugV2,rating_mean+rating_frequency ext,"rating_mean,rating_frequency",10,optuna,0.006616,0.019003,0.018641,0.000362,1.019417,0.1304,0.7180454880082143,0.015384,0.026172,0.018967,0.0,0.015746
MovieAugV2,rating_mean+tags ext,"rating_mean,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",10,optuna,0.000544,0.024796,0.012576,0.01222,1.971659,225.3044,6.301095289625802e-51,0.025788,0.033648,0.054353,100.0,0.038008
MovieAugV2,rating_mean ext,rating_mean,10,optuna,0.001604,0.018743,0.019081,0.000338,0.982293,0.1553,0.6935551565933988,0.013209,0.023897,0.015485,0.0,0.013547
MovieAugV2,rating_std+days_active ext,"rating_std,days_active",10,optuna,0.004461,0.018608,0.019821,0.001213,0.938798,1.6111,0.20433146241710556,0.019375,0.031102,0.018432,0.0,0.020589
MovieAugV2,rating_std+rating_frequency ext,"rating_std,rating_frequency",10,optuna,0.004951,0.018334,0.020647,0.002313,0.887965,5.9604,0.014630671406729601,0.016986,0.033112,0.017176,0.0,0.019299
MovieAugV2,rating_std+tags ext,"rating_std,tag_count,unique_tags,avg_tag_length,tag_frequency,last_tag",10,optuna,0.006579,0.02447,0.012918,0.011552,1.894208,201.2979,1.0879588101983084e-45,0.025769,0.035299,0.047104,75.0,0.037321
MovieAugV2,rating_std ext,rating_std,10,optuna,0.006153,0.018069,0.019756,0.001687,0.914589,4.2241,0.0398544209615412,0.01507,0.031964,0.020411,0.0,0.016758
